,city,street,housenumber,lon,lat
315,москва,измайловский проспект,87,37.80375928888888,55.789005
316,москва,измайловский проспект,85,37.8026372125,55.7891860125
317,москва,измайловский проспект,83,37.80166823,55.78896473
318,москва,9-я парковая улица,2,37.80081765,55.78908893333334
320,москва,9-я парковая улица,4а,37.802080445,55.78958346
326,москва,измайловский проспект,91к2,37.80743843333334,55.789147316666664
327,москва,измайловский проспект,91а,37.80803984,55.78952258
333,москва,измайловский проспект,93к3,37.80907554444444,55.78973635555555
334,москва,вернадского проспект,49,37.50656126,55.67268328
335,москва,вернадского проспект,47,37.50602168,55.673001
336,москва,вернадского проспект,45,37.505673560000005,55.67341782
337,москва,вернадского проспект,41,37.50388446428571,55.673473685714285
338,москва,вернадского проспект,43с1,37.505228566666666,55.67382031666667
339,москва,вернадского проспект,14,37.50479785384616,55.67690546153846
340,москва,вернадского проспект,14б,37.50456268000001,55.67626749
343,москва,удальцова улица,47,37.50624798,55.67447241
344,москва,удальцова улица,31а,37.50746334,55.673572160000006
345,москва,вернадского проспект,51с1,37.5078836875,55.6724025125
348,москва,удальцова улица,3к12,37.50893466666667,55.671865733333334
349,москва,удальцова улица,43,37.50684051,55.67479647
350,москва,удальцова улица,39,37.507450340000005,55.6751128
351,москва,удальцова улица,35,37.50801713,55.67543664
379,москва,мкад 32-й километр,15,37.5982399,55.57492248
388,москва,тёплый стан улица,27,37.48169803636363,55.6295791
405,москва,профсоюзная улица,152к3,37.50486236,55.62287348
406,москва,профсоюзная улица,152к4,37.50325012,55.62345653999999
420,москва,профсоюзная улица,124,37.51780652857143,55.63311581428571
428,москва,профсоюзная улица,130к1,37.51413137142856,55.63083258571429
429,москва,профсоюзная улица,130к2,37.51265362,55.6315654
430,москва,профсоюзная улица,130к3,37.51106222,55.6321354
431,москва,профсоюзная улица,128,37.51648093636364,55.63160943636364
432,москва,профсоюзная улица,126,37.517268290909094,55.63232167272727
433,москва,профсоюзная улица,122,37.518235266666665,55.6337106888889
436,москва,профсоюзная улица,136к2,37.51099678571428,55.62867908571429
440,москва,профсоюзная улица,146к2,37.506331828571426,55.62473329047619
441,москва,профсоюзная улица,142к1,37.50892211,55.62527143
445,москва,профсоюзная улица,152к1,37.50604549999999,55.62228622857143
446,москва,профсоюзная улица,152к2,37.50538092857143,55.62247624285714
447,москва,профсоюзная улица,152к2с2,37.506315685,55.622846985
449,москва,профсоюзная улица,144,37.50833545454546,55.62425172727273
